2026-04-18 12:30:54 | INFO     | GATv2:126 | PPO调度环境初始化完成 (动作空间=2: 批准/拒绝)
2026-04-18 12:30:54 | INFO     | GATv2:126 | PPO智能调度器初始化完成 (动作空间=2: 批准/拒绝)
2026-04-18 12:30:55 | INFO     | GATv2:126 | ============================================================
2026-04-18 12:30:55 | INFO     | GATv2:126 | 实验室智能算法服务启动中...
2026-04-18 12:30:55 | INFO     | GATv2:126 | ============================================================
2026-04-18 12:30:55 | INFO     | GATv2:126 | 正在初始化GATv2推荐器...
2026-04-18 12:30:55 | INFO     | GATv2:126 | 正在初始化GATv2推荐器... (in_channels=None, hidden_channels=None, out_channels=None, lr=None, epochs=None)
2026-04-18 12:30:55 | INFO     | GATv2:126 | 从文件加载图数据...
2026-04-18 12:30:55 | INFO     | GATv2:126 | 从文件加载完成: 用户数=2, 设备数=6
2026-04-18 12:30:55 | INFO     | GATv2:126 | 加载已训练的模型...
2026-04-18 12:30:56 | INFO     | GATv2:126 | GATv2模型初始化完成: in=8, hidden=16, out=4, heads=1
2026-04-18 12:30:56 | INFO     | GATv2:126 | 训练器初始化完成，使用设备: cpu, lr: 0.01
2026-04-18 12:30:56 | INFO     | GATv2:126 | 模型已从 D:\file\4\labreserve\algorithm\models\gatv2_model.pth 加载
2026-04-18 12:30:56 | INFO     | GATv2:126 | 提取节点嵌入向量...
2026-04-18 12:30:56 | INFO     | GATv2:126 | GATv2推荐器初始化成功！
2026-04-18 12:30:56 | INFO     | GATv2:126 | GATv2推荐器初始化成功！
2026-04-18 12:30:56 | INFO     | GATv2:126 | 正在初始化PPO调度器...
2026-04-18 12:30:56 | INFO     | GATv2:126 | PPO调度器没有data_exists方法，将在首次请求时初始化
2026-04-18 12:30:56 | INFO     | GATv2:126 | ============================================================
2026-04-18 12:30:56 | INFO     | GATv2:126 | 实验室智能算法服务启动完成！
2026-04-18 12:30:56 | INFO     | GATv2:126 | API文档地址: http://0.0.0.0:8000/docs
2026-04-18 12:30:56 | INFO     | GATv2:126 | ============================================================
